menu_id,category,menu,menu_th,menu_cn,menu_jp,description,description_th,price,cost,calories,ingredient,rating,reviewers
B1,bakery,Muffin,มัฟฟิน,玛芬,マフィン,"Freshly baked muffins, available in blueberry, chocolate chip, and banana nut, perfect for a sweet treat any time of day.",มัฟฟินอบใหม่ มีให้เลือกในรสบลูเบอร์รี่ ช็อกโกแลตชิป และกล้วยนัท เหมาะสำหรับขนมหวานในทุกช่วงเวลาแห่งวัน,60,27,Approximately 300 calories.,"Flour, Sugar, Eggs, Milk",4.6,185.0
B2,bakery,Donut,โดนัท,甜甜圈,ドーナツ,"Freshly baked donuts, glazed or filled, with a variety of flavors to satisfy your sweet cravings.",โดนัทอบใหม่ ราดน้ำตาลหรือมีไส้ พร้อมหลากหลายรสชาติที่จะตอบสนองความหวานของคุณ,40,12,250,"Flour, Sugar, Yeast, Milk",4.2,1418.0
B3,bakery,Sandwich,แซนด์วิช,三明治,サンドイッチ,"Freshly made sandwiches with artisanal bread, premium meats, and local veggies, perfect for a quick, delicious meal on the go.",แซนด์วิชทำสดใหม่ด้วยขนมปังอาร์ติซาน เนื้อคุณภาพสูง และผักท้องถิ่น เหมาะสำหรับมื้ออาหารอร่อยๆ ที่สะดวกและรวดเร็ว,80,28,300,"Bread, Lettuce, Tomato, Turkey",3.0,1033.0
B4,bakery,Cheesecake,ชีสเค้ก, cheesecake: 芝士蛋糕,チーズケーキ,"Creamy, rich cheesecake with a buttery graham cracker crust, topped with seasonal fruit or chocolate drizzle. Indulge in every bite!",ชีสเค้กครีมมี่ รสเข้มข้น พร้อมครัสต์กราแฮมแครกเกอร์เนย ท็อปด้วยผลไม้ตามฤดูกาลหรือช็อกโกแลตดริซเซิล ลิ้มรสทุกคำอย่างเต็มที่!,120,72,257 calories per slice.,"Cream cheese, Sugar, Eggs, Graham cracker crust",3.4,170.0
B5,bakery,Croissant,ครัวซองต์,可颂,クロワッサン,"Flaky, buttery croissant baked fresh daily, perfect for a delightful breakfast or snack. Enjoy plain or with your choice of filling!",ครัวซองต์กรอบและเนยอบใหม่ทุกวัน เหมาะสำหรับอาหารเช้าหรือขนมขบเคี้ยวที่น่ารื่นรมย์ เพลิดเพลินได้ทั้งแบบธรรมดาหรือใส่ไส้ตามที่คุณชอบ!,85,46,231,"Flour, Butter, Yeast, Salt",4.1,240.0
B6,bakery,Cookie,คุกกี้,饼干,クッキー,"Deliciously soft and chewy cookies, baked fresh daily with premium ingredients. Perfectly paired with our artisanal coffee.",คุกกี้ที่นุ่มและหนึบอร่อยอบสดใหม่ทุกวันด้วยวัตถุดิบคุณภาพสูง คู่กับกาแฟศิลปะของเราอย่างลงตัว,85,29,150,"Flour, Sugar, Butter, Chocolate Chips",4.8,1365.0
C6,coffee,Americano,อเมริกาโน,美式咖啡,アメリカーノ,"Rich espresso diluted with hot water, offering a smooth, bold coffee experience perfect for any time of day.",เอสเพรสโซเข้มข้นเจือจางด้วยน้ำร้อน มอบประสบการณ์กาแฟที่นุ่มนวลและเข้มข้น เหมาะสำหรับทุกช่วงเวลาในวัน,45,13,15,"Espresso, Hot Water",4.1,343.0
C7,coffee,Cappuccino,คาปูชิโน่,卡布奇诺,カプチーノ,"Rich espresso topped with velvety steamed milk and a light dusting of cocoa, perfect for a cozy coffee break.",เอสเพรสโซเข้มข้นที่มีฟองนมเนียนนุ่มและโรยด้วยผงโกโก้เบาๆ เหมาะสำหรับการพักดื่มกาแฟอย่างอบอุ่น,75,26,120,"Espresso, Steamed milk, Milk foam",3.4,919.0
C8,coffee,Espresso,เอสเพรสโซ่,浓缩咖啡,エスプレッソ,"Rich, bold espresso brewed from premium beans, delivering a robust flavor and energizing kick in every shot.",เอสเพรสโซ่เข้มข้นและกลมกล่อมที่ชงจากเมล็ดกาแฟคุณภาพสูง มอบรสชาติที่เข้มข้นและพลังงานในทุกๆ ช็อต,55,19,1 calorie,"Espresso Beans, Water",4.9,958.0
C9,coffee,Mocha,มอคค่า,摩卡,モカ,"Rich espresso blended with steamed milk and velvety chocolate, topped with whipped cream for a delightful treat.",เอสเพรสโซเข้มข้นผสมกับนมฟองและช็อกโกแลตเนื้อเนียน โรยหน้าด้วยวิปครีมเพื่อความอร่อยที่น่าพอใจ,70,28,350,"Espresso, Steamed milk, Chocolate syrup, Whipped cream",3.4,829.0
C10,coffee,Latte,ลาเต้,拿铁,ラテ,"Rich espresso blended with steamed milk, topped with velvety foam for a creamy, comforting experience. Perfect for any time!",เอสเพรสโซเข้มข้นผสมกับนมที่ตีฟอง ท็อปด้วยฟองนุ่ม ๆ เพื่อประสบการณ์ที่ครีมมี่และสบาย เหมาะสำหรับทุกเวลา!,70,28,150,"Espresso, Steamed Milk, Milk Foam",4.9,731.0
C11,coffee,Iced Latte,ลาเต้เย็น,冰拿铁,アイスラテ,"Chilled espresso blended with creamy milk and ice, topped with a hint of sweetness for a refreshing pick-me-up.",เอสเพรสโซเย็นผสมกับนมครีมและน้ำแข็ง โรยด้วยความหวานเล็กน้อยเพื่อความสดชื่นในการกระตุ้นพลังงาน,60,18,120 calories,"Iced Coffee, Milk, Ice, Sweetener",3.3,563.0
C12,coffee,Iced Americano,อเมริกาโน่เย็น,冰美式咖啡,アイスアメリカーノ,"Refreshing blend of rich espresso and cold water, served over ice for a bold, invigorating coffee experience.",การผสมผสานที่สดชื่นของเอสเพรสโซเข้มข้นและน้ำเย็น เสิร์ฟบนก้อนน้ำแข็งเพื่อประสบการณ์กาแฟที่กล้าหาญและกระปรี้กระเปร่า,45,13,5,"Iced Americano,Espresso,Water,Ice",3.3,546.0
