menu_id|menu_fr|description_fr
B1|Muffin|Muffins fraîchement cuits, disponibles en myrtilles, pépites de chocolat et banane, parfaits pour une gâterie sucrée à tout moment de la journée.
B2|Beignet|Beignets fraîchement cuits, glacés ou fourrés, avec une variété de saveurs pour satisfaire vos envies sucrées.
B3|Sandwich|Des sandwichs fraîchement préparés avec du pain artisanal, des viandes de première qualité et des légumes locaux, parfaits pour un repas rapide et délicieux sur le pouce.
B4|Cheesecake|Gâteau au fromage crémeux et riche avec une croûte de biscuits Graham au beurre, garni de fruits de saison ou d’un filet de chocolat. Laissez-vous tenter par chaque bouchée !
B5|Croissant|Croissant feuilleté et beurré fraîchement cuit tous les jours, parfait pour un délicieux petit-déjeuner ou une collation. Dégustez nature ou avec la garniture de votre choix !
B6|Biscuit|Des biscuits délicieusement moelleux et moelleux, fraîchement cuits chaque jour avec des ingrédients de première qualité. Parfaitement associé à notre café artisanal.
C6|Americano|Espresso riche dilué avec de l’eau chaude, offrant une saveur de café audacieuse avec une finale douce. Parfait pour tout moment de la journée.
C7|Cappuccino|Un espresso riche garni de lait cuit à la vapeur velouté et d’une légère couche de mousse, parfait pour une pause-café confortable.
C8|Expresso|Un espresso riche et audacieux à base de grains fraîchement moulus, offrant une dose parfaite d’énergie et de saveur dans chaque tasse.
C9|Moka|Espresso riche mélangé à du lait cuit à la vapeur et du chocolat velouté, garni de crème fouettée pour une délicieuse gâterie.
C10|Latte|Espresso riche mélangé à du lait cuit à la vapeur, garni d’une mousse veloutée pour une expérience crémeuse et réconfortante. Parfait pour tout moment !
C11|Latte glacé|Espresso réfrigéré mélangé à du lait crémeux et de la glace, garni d’un soupçon de douceur pour un remontant rafraîchissant.
C12|Americano glacé|Mélange rafraîchissant d’espresso riche et d’eau froide, servi sur glace pour une expérience de café audacieuse et revigorante.
C13|Nitro Blanc Mat|Espresso onctueux et crémeux infusé d’azote pour une texture veloutée et une saveur riche, servi froid pour une touche rafraîchissante.
C14|Infusion froide au moka|Riche café infusé à froid mélangé à du chocolat velouté et à un soupçon de crème, servi sur de la glace pour une gâterie rafraîchissante.
S12|Smoothie à la pastèque|Smoothie rafraîchissant à la pastèque mélangé à des fruits frais, un soupçon de menthe et une touche de citron vert pour un délice estival.
S13|Kiwi Smoothie|Smoothie rafraîchissant au kiwi mélangé à du yogourt crémeux, du miel et un soupçon de menthe pour une touche tropicale.
S14|Smoothie à la mangue|Smoothie rafraîchissant à la mangue mélangé à des mangues mûres, du yogourt crémeux et un soupçon de miel pour un délice tropical.
S15|Smoothie à la fraise|Smoothie rafraîchissant à la fraise mélangé à des fraises mûres, du yogourt crémeux et un soupçon de miel pour une gâterie délicieusement fruitée.
T16|Thé noir|Thé noir riche et robuste, infusé à la perfection, offrant une saveur audacieuse avec une finale douce. Parfait pour tout moment !
T17|Thé thaïlandais|Thé thaïlandais riche et crémeux infusé d’épices, servi chaud ou glacé pour une expérience aromatique rafraîchissante.
T18|Thé à bulles|Délectez-vous de notre thé à bulles rafraîchissant, composé de perles de tapioca moelleuses et d’une variété de saveurs, parfait pour toutes les envies !
T19|Thé vert|Thé vert rafraîchissant, infusé à partir de feuilles de qualité supérieure, riche en antioxydants et parfait pour une expérience apaisante. Dégustez chaud ou glacé !
T20|Thé au jasmin|Thé au jasmin délicat infusé de fleurs parfumées, offrant une expérience apaisante et aromatique à chaque gorgée. Parfaitement rafraîchissant !
T21|Thé Yuzu|Thé Yuzu rafraîchissant : Un mélange d’agrumes de yuzu et de thé vert, parfait pour un remontant revitalisant.
T98|Nitro Limonade au thé noir|Limonade rafraîchissante au thé noir infusée de nitro, combinant des saveurs audacieuses avec une finale douce et effervescente pour une expérience revitalisante.
T99|Thé au citron|Thé au citron rafraîchissant, infusé avec des citrons frais et une pointe de miel, parfait pour un remontant revitalisant.
C99|Espresso Con Panna|Espresso Con Panna : Espresso riche garni d’une cuillerée de crème fouettée crémeuse pour une gâterie délicieuse et gourmande.
