menu,rating,sentiment,review_text
Thai Tea,5,positive,"ชาไทยที่นี่อร่อยมากค่ะ หอมกลิ่นเครื่องเทศ หวานกำลังดี ใส่นมสดเยอะ ทำให้รสชาติกลมกล่อม สั่งทุกครั้งที่มา ไม่เคยผิดหวัง"
Nitro Flat White,4,positive,"The Nitro Flat White here is a game-changer! The cascading effect is mesmerizing and the smooth, velvety texture is perfect. Just wish it was a bit stronger."
Mango Smoothie,2,negative,"แมงโก้สมูทตี้รสชาติธรรมดามาก มะม่วงไม่หวาน น้ำแข็งเยอะเกินไป เหมือนกินน้ำแข็งบด เสียดายเงิน"
Croissant,5,positive,"Best croissant in town! Perfectly flaky and buttery layers, with a beautiful golden-brown color. Still warm when served. Worth every penny!"
Bubble Tea,1,negative,"Terrible bubble tea experience. The pearls were too hard, the tea was watery, and the sweetness level was way off. Save your money and go elsewhere."
Muffin,5,positive,"The muffin was absolutely delicious! It was moist, fluffy, and had the perfect amount of sweetness. I highly recommend it!"
Iced Americano,2,negative,"The Iced Americano was too bitter for my taste. It felt like it was over-extracted. I wouldn’t order it again."
Watermelon Smoothie,4,positive,"This smoothie was so refreshing! The watermelon flavor was natural and not overly sweet. Perfect for a hot day."
Croissant,1,negative,"The croissant was stale and dry. It tasted like it had been sitting out for hours. Very disappointing."
Muffin,5,positive,"The blueberry muffin was absolutely delicious! Moist, flavorful, and packed with blueberries.  Perfect with my latte."
Donut,3,neutral,"The donut was okay.  A little dry, but the glaze was good.  I've had better donuts though."
Sandwich,4,positive,"The ham and cheese sandwich was surprisingly good.  Fresh bread and generous fillings.  A good quick lunch option."
Cheesecake,2,negative,"ผิดหวังกับชีสเค้กมากค่ะ  (Disappointed with the cheesecake). It was dry and the texture was off.  รสชาติไม่ค่อยดีเท่าไหร่ (The taste wasn't very good)."
Croissant,5,positive,"I love the croissants here! Flaky, buttery, and perfectly baked.  Just like in Paris!  อร่อยมากค่ะ (Very delicious!)"
Cookie,4,positive,"The chocolate chip cookie was warm and chewy. Just the right amount of sweetness.  A perfect afternoon treat."
Americano,3,neutral,"The Americano was decent. Strong, as it should be, but nothing particularly special."
